,Rating
1610,A
1611,BBB
1612,BBB
1613,BB
1614,B
1615,BB
1616,BB
1617,B
1618,BB
1619,BB
1620,B
1621,BBB
1622,BBB
1623,BBB
1624,BBB
1625,BBB
1626,BBB
1627,BBB
1628,BBB
1629,BBB
1630,BB
1631,BBB
1632,BBB
1633,BBB
1634,BB
1635,BBB
1636,BBB
1637,BBB
1638,B
1639,A
1640,A
1641,A
1642,BB
1643,A
1644,A
1645,A
1646,A
1647,AA
1648,AA
1649,BBB
1650,BB
1651,B
1652,B
1653,CCC
1654,BB
1655,BB
1656,BB
1657,BB
1658,BB
1659,BB
1660,BBB
1661,BBB
1662,A
1663,BB
1664,BBB
1665,BBB
1666,BB
1667,BB
1668,BBB
1669,BB
1670,BB
1671,BB
1672,BB
1673,BBB
1674,BB
1675,BB
1676,BBB
1677,BB
1678,BB
1679,BBB
1680,BBB
1681,BBB
1682,BBB
1683,BBB
1684,B
1685,BB
1686,B
1687,BB
1688,BB
1689,B
1690,BB
1691,BB
1692,BB
1693,A
1694,A
1695,A
1696,A
1697,A
1698,A
1699,BB
1700,BB
1701,BBB
1702,BBB
1703,BBB
1704,BBB
1705,BB
1706,BB
1707,BB
1708,B
1709,CCC
1710,B
1711,B
1712,B
1713,B
1714,B
1715,BB
1716,BB
1717,B
1718,B
1719,B
1720,B
1721,B
1722,B
1723,B
1724,BBB
1725,BBB
1726,BBB
1727,BBB
1728,B
1729,BB
1730,BB
1731,BB
1732,B
1733,B
1734,BB
1735,BB
1736,B
1737,BBB
1738,BBB
1739,BBB
1740,BB
1741,BB
1742,BB
1743,B
1744,BB
1745,B
1746,BB
1747,BB
1748,BB
1749,B
1750,B
1751,B
1752,B
1753,B
1754,B
1755,BB
1756,BB
1757,BB
1758,BBB
1759,BBB
1760,BBB
1761,BB
1762,BB
1763,BB
1764,BB
1765,BB
1766,BB
1767,BBB
1768,BBB
1769,BBB
1770,A
1771,BB
1772,BB
1773,BB
1774,BB
1775,BBB
1776,BBB
1777,BBB
1778,BBB
1779,BBB
1780,BB
1781,BBB
1782,BB
1783,BBB
1784,A
1785,A
1786,BBB
1787,BBB
1788,BBB
1789,BB
1790,BB
1791,BBB
1792,BBB
1793,B
1794,BB
1795,B
1796,A
1797,AA
1798,AA
1799,A
1800,AA
1801,BBB
1802,CCC
1803,CCC
1804,BBB
1805,BB
1806,BB
1807,BB
1808,BB
1809,BB
1810,BBB
1811,BB
1812,B
1813,BB
1814,BB
1815,BB
1816,B
1817,B
1818,CCC
1819,B
1820,B
1821,CCC
1822,BB
1823,B
1824,CCC
1825,BB
1826,A
1827,BB
1828,BB
1829,BB
1830,BB
1831,BB
1832,BB
1833,B
1834,B
1835,BB
1836,B
1837,B
1838,B
1839,BBB
1840,BBB
1841,CCC
1842,B
1843,B
1844,BB
1845,B
1846,BBB
1847,BBB
1848,BBB
1849,BB
1850,BBB
1851,BBB
1852,BBB
1853,BBB
1854,BB
1855,BB
1856,BB
1857,BB
1858,BB
1859,CCC
1860,B
1861,B
1862,B
1863,B
1864,B
1865,B
1866,B
1867,B
1868,B
1869,B
1870,B
1871,BB
1872,CCC
1873,BBB
1874,BBB
1875,BB
1876,B
1877,B
1878,B
1879,B
1880,B
1881,B
1882,B
1883,BBB
1884,BB
1885,BB
1886,BB
1887,BB
1888,BB
1889,BB
1890,BB
1891,BB
1892,BB
1893,BBB
1894,BBB
1895,BBB
1896,BB
1897,AA
1898,AA
1899,A
1900,BB
1901,B
1902,BBB
1903,BBB
1904,BBB
1905,BBB
1906,CCC
1907,BBB
1908,BB
1909,BBB
1910,BBB
1911,BBB
1912,BBB
1913,BBB
1914,A
1915,BB
1916,BB
1917,BB
1918,B
1919,BB
1920,A
1921,BBB
1922,BBB
1923,BBB
1924,B
1925,B
1926,BBB
1927,BB
1928,BBB
1929,B
1930,BBB
1931,BB
1932,BB
1933,BB
1934,BB
1935,BBB
1936,A
1937,BB
1938,BB
1939,BB
1940,B
1941,B
1942,B
1943,BB
1944,BBB
1945,BBB
1946,BBB
1947,B
1948,B
1949,BBB
1950,BB
1951,BB
1952,B
1953,BBB
1954,BBB
1955,BBB
1956,BB
1957,BB
1958,B
1959,B
1960,BB
1961,BB
1962,BB
1963,A
1964,B
1965,BBB
1966,BB
1967,BB
1968,BB
1969,B
1970,BBB
1971,BBB
1972,BB
1973,BB
1974,B
1975,B
1976,B
1977,B
1978,B
1979,CCC
1980,B
1981,B
1982,BBB
1983,BB
1984,BB
1985,BB
1986,B
1987,B
1988,BB
1989,B
1990,B
1991,B
1992,BBB
1993,BBB
1994,BBB
1995,BBB
1996,CCC
1997,BBB
1998,B
1999,BB
2000,BBB
2001,B
2002,BBB
2003,BBB
2004,BB
2005,BBB
2006,BBB
2007,BBB
2008,BB
2009,BBB
2010,BB
2011,A
2012,A
2013,BB
2014,B
2015,B
2016,BBB
2017,BB
2018,CCC
2019,B
2020,AA
2021,B
2022,BB
2023,AA
2024,BBB
2025,BB
2026,B
2027,B
2028,CCC
